# V0=0.0, s=0.5 
#  x1  x2  pair dist
#   
   -5.950000E+00     6.000000E-01     1.368976E-09
   -5.950000E+00     6.500000E-01     1.359844E-09
   -5.950000E+00     7.000000E-01     1.357698E-09
   -5.950000E+00     7.500000E-01     1.362372E-09
   -5.950000E+00     8.000000E-01     1.372991E-09
   -5.950000E+00     8.500000E-01     1.388064E-09
   -5.950000E+00     9.000000E-01     1.405638E-09
   -5.950000E+00     9.500000E-01     1.423487E-09
   -5.950000E+00     1.000000E+00     1.439334E-09
   -5.950000E+00     1.050000E+00     1.451060E-09
   -5.950000E+00     1.100000E+00     1.456908E-09
   -5.950000E+00     1.150000E+00     1.455639E-09
   -5.950000E+00     1.200000E+00     1.446635E-09
   -5.950000E+00     1.250000E+00     1.429946E-09
   -5.950000E+00     1.300000E+00     1.406276E-09
   -5.950000E+00     1.350000E+00     1.376904E-09
   -5.950000E+00     1.400000E+00     1.343557E-09
   -5.950000E+00     1.450000E+00     1.308256E-09
   -5.950000E+00     1.500000E+00     1.273132E-09
   -5.950000E+00     1.550000E+00     1.240243E-09
   -5.950000E+00     1.600000E+00     1.211405E-09
   -5.950000E+00     1.650000E+00     1.188049E-09
   -5.950000E+00     1.700000E+00     1.171116E-09
   -5.950000E+00     1.750000E+00     1.160994E-09
   -5.950000E+00     1.800000E+00     1.157508E-09
   -5.950000E+00     1.850000E+00     1.159944E-09
   -5.950000E+00     1.900000E+00     1.167122E-09
   -5.950000E+00     1.950000E+00     1.177495E-09
   -5.950000E+00     2.000000E+00     1.189268E-09
   -5.950000E+00     2.050000E+00     1.200532E-09
   -5.950000E+00     2.100000E+00     1.209392E-09
   -5.950000E+00     2.150000E+00     1.214087E-09
   -5.950000E+00     2.200000E+00     1.213095E-09
   -5.950000E+00     2.250000E+00     1.205210E-09
   -5.950000E+00     2.300000E+00     1.189594E-09
   -5.950000E+00     2.350000E+00     1.165804E-09
   -5.950000E+00     2.400000E+00     1.133789E-09
   -5.950000E+00     2.450000E+00     1.093867E-09
   -5.950000E+00     2.500000E+00     1.046677E-09
   -5.950000E+00     2.550000E+00     9.931284E-10
   -5.950000E+00     2.600000E+00     9.343279E-10
   -5.950000E+00     2.650000E+00     8.715136E-10
   -5.950000E+00     2.700000E+00     8.059849E-10
   -5.950000E+00     2.750000E+00     7.390395E-10
